source_id,source_name,lat,lon,total_co2_emissions_2025,source,year,total_capacity_2025,total_activity_2025,activity_units,capacity_units
95,DAMODARAM SANJEEVAIAH,14.3444,80.1264,11955070,Central Electricity Authority,Nov-25,2400,11153.63,GWh,MW
96,DARLIPALLI STPP St-I,21.963554,83.89187,9908486,Central Electricity Authority,Nov-25,1600,11374.96,GWh,MW
98,DERANG,21.1238,84.9843,7991028,Central Electricity Authority,Nov-25,1200,8598.5,GWh,MW
99,DGEN MEGA CCCP,21.6923,72.6215,551064,Central Electricity Authority,Nov-25,1200,1594.54,GWh,MW
102,DHANU,19.9545,72.7478,2769399,Central Electricity Authority,Nov-25,500,2866.23,GWh,MW
103,DHARIWAL INF TPP,20.0102,79.2033,4079740,Central Electricity Authority,Nov-25,600,4255.99,GWh,MW
105,DHOLPUR,26.7024,77.8492,32716,Central Electricity Authority,Nov-25,330,45.59,GWh,MW
107,DHUVARAN CCPP,22.2396,72.752,166372,Central Electricity Authority,Nov-25,594.72,347.42,GWh,MW
109,DISHERGARH TPP,23.689366,86.854318,60805,Central Electricity Authority,Nov-25,12,36.53,GWh,MW
117,DURGAPUR STEEL TPS,23.58,87.2043,6356098,Central Electricity Authority,Nov-25,1000,6652.7,GWh,MW
120,EMCO GMR WARORA TPP,20.2723,78.9793,3892457,Central Electricity Authority,Nov-25,600,4112.02,GWh,MW
123,F_BAD CCPP,28.3452,77.3615,93109,Central Electricity Authority,Nov-25,431.59,201.6,GWh,MW
125,FARAKKA STPS,24.772,87.894,12961891,Central Electricity Authority,Nov-25,2100,12961.49,GWh,MW
127,GADARWARA,22.8618,78.8648,7671284,Central Electricity Authority,Nov-25,1600,8461.66,GWh,MW
129,GAMA CCPP  Module - 1,29.1411,78.9632,112848,Central Electricity Authority,Nov-25,225,273.7,GWh,MW
130,GANDHAR GT,21.8242,73.1136,354812,Central Electricity Authority,Nov-25,657.39,657.65,GWh,MW
132,GANDHI NAGAR,25.2502,72.6765,2356228,Central Electricity Authority,Nov-25,630,2099.55,GWh,MW
140,GHTP (LEH.MOH.),30.2666,75.1661,5141496,Central Electricity Authority,Nov-25,920,4458.85,GWh,MW
146,GOINDWAL SAHIB TPP,31.3841,75.1464,2901240,Central Electricity Authority,Nov-25,540,2757.01,GWh,MW
148,H_GANJ B,28.0179,78.1326,2405725,Central Electricity Authority,Nov-25,605,2234.47,GWh,MW
149,H_GANJ B EXP-II,28.0175,78.13,2417186,Central Electricity Authority,Nov-25,660,2708.62,GWh,MW
150,HALDIA,22.1042,88.1764,4085410,Central Electricity Authority,Nov-25,600,4444.57,GWh,MW
154,HAZIRA-GSECL,21.1652,72.6613,100153,Central Electricity Authority,Nov-25,351,237.37,GWh,MW
157,I.B.VALLEY,21.6872,83.86,10804358,Central Electricity Authority,Nov-25,1740,11868.92,GWh,MW
158,I.P.GT,28.6194,77.2504,141754,Central Electricity Authority,Nov-25,270,243.67,GWh,MW
162,"IEPL ,BELA TPP",20.8102,79.0556,1766048,Central Electricity Authority,Nov-25,270,1706.46,GWh,MW
163,"INDIA POWER TPP(HALDIA, HIRANMAYE )",22.0774,88.0995,1873345,Central Electricity Authority,Nov-25,300,1746.19,GWh,MW
165,ITPCL TPP,11.5214,79.7515,5947310,Central Electricity Authority,Nov-25,1200,6447.4,GWh,MW
166,IND BARATH TPP (UTKAL),21.658,83.92,1990497,Central Electricity Authority,Nov-25,350,1836.43,GWh,MW
167,INDRA GANDHI STPP,28.4849,76.3754,8056228,Central Electricity Authority,Nov-25,1500,8110.06,GWh,MW
170,JALLIPPA KAPURDI TPP,25.8888,71.3236,7328762,Central Electricity Authority,Nov-25,1080,6000.39,GWh,MW
171,JEGURUPADU GT,16.9312,81.86,15692,Central Electricity Authority,Nov-25,455.4,23.21,GWh,MW
173,JOJBERA,22.7554,86.2491,1624530,Central Electricity Authority,Nov-25,240,1533.3,GWh,MW
175,JSW RATNAGIRI TPP,17.297,73.212,1638119,Central Electricity Authority,Nov-25,300,1797.29,GWh,MW
177,K_GUDEM NEW,17.6219,80.6936,9551333,Central Electricity Authority,Nov-25,1800,10762.37,GWh,MW
178,K_KHEDA II,21.2818,79.116,8763225,Central Electricity Authority,Nov-25,1340,7996.51,GWh,MW
182,KAHALGAON,25.2349,87.2635,14907170,Central Electricity Authority,Nov-25,2340,15286.22,GWh,MW
184,KAKATIYA TPP,18.3835,79.8265,5717443,Central Electricity Authority,Nov-25,1100,6032.97,GWh,MW
189,KALISINDH,24.5295,76.0986,7123792,Central Electricity Authority,Nov-25,1200,7069.39,GWh,MW
191,KAMALANGA,20.87,85.2671,6983493,Central Electricity Authority,Nov-25,1050,7405.05,GWh,MW
194,KARAIKAL,10.9325,79.8216,118599,Central Electricity Authority,Nov-25,32.5,187.51,GWh,MW
199,KASAIPALLI,22.389,82.5549,1330453,Central Electricity Authority,Nov-25,270,1219.09,GWh,MW
202,KASHIPUR CCPP,29.154721,78.974029,217174,Central Electricity Authority,Nov-25,439,522.42,GWh,MW
204,KATHALGURI GT,27.341,95.408,911361,Central Electricity Authority,Nov-25,291,1521.89,GWh,MW
